year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2005,4EI8VuxUuIHKfafU72emq,We Belong Together,Mariah Carey,0.84,0.476,0,-7.918,1,0.0629,0.0264,0,0.0865,0.767,139.987,201400,4
2005,3ibKnFDaa3GhpPGlOUj7f,Let Me Love You,Mario,0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,256733,4
2005,1PS1QMdUqOal0ai3Gt7sD,Gold Digger,Kanye West,0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,207627,4
2005,2ndWbjiiNBEOrlfToKlAB,I Will Follow You into the Dark,Death Cab for Cutie,0.581,0.163,5,-14.686,1,0.0447,0.923,0,0.118,0.475,77.748,189400,4
2005,5D2mYZuzcgjpchVY1pmTP,Candy Shop,50 Cent,0.614,0.574,11,-7.961,1,0.466,0.0253,3.20E-05,0.38,0.755,125.173,209107,5
2005,0vg4WnUWvze6pBOJDTq99,You're Beautiful,James Blunt,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76E-05,0.088,0.454,81.998,209493,4
2005,1hwJKpe0BPUsq6UUrwBWT,Boulevard of Broken Dreams,Green Day,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54E-05,0.0383,0.506,167.046,261267,4
2005,0BxfFnk0YzONqvmrkO0Qr,Don't Cha,The Pussycat Dolls,0.875,0.631,1,-3.475,1,0.099,0.00542,2.54E-06,0.127,0.549,120.003,272080,4
2005,0mUyMawtxj1CJ76kn9gIZ,Bad Day,Daniel Powter,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,233640,4
2005,0BgbobvykXxEvxo2HhCuv,Banana Pancakes,Jack Johnson,0.814,0.373,7,-8.017,1,0.116,0.602,1.70E-05,0.0931,0.632,114.548,191907,4
2005,7LVHVU3tWfcxj5aiPFEW4,Fix You,Coldplay,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,4
2005,5aDpULK8MbJmHl42kR5KN,Collide,Howie Day,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35E-05,0.119,0.342,93.931,249120,4
2005,6fzcnVO0X2cpYjsHk19GJ,Sometimes You Can't Make It On Your Own,U2,0.53,0.597,2,-5.652,1,0.0247,0.00275,0.473,0.105,0.346,96,305080,4
2005,2ZA4uMlSZjaoWGFqP1tsL,Ordinary People,John Legend,0.469,0.132,10,-14.001,1,0.0807,0.929,0,0.0873,0.36,67.011,281467,3
2005,0815caqt2Lytro5EIzMuf,You And Me,Lifehouse,0.459,0.427,7,-7.734,1,0.0267,0.114,0,0.168,0.354,139.902,195493,3
2005,3lyLqIn8mybyEFTs8JJaL,Home,Michael Bublé,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87E-05,0.112,0.349,127.631,225907,4
2005,2iXdwVdzA0KrI2Q0iZNJb,Better Together,Jack Johnson,0.871,0.346,5,-9.481,1,0.0522,0.298,9.24E-06,0.108,0.659,110.054,207680,4
2005,3q7D4kfMcju2alVibiUAc,In the Morning,The Coral,0.644,0.777,6,-6.165,0,0.0284,0.0252,0,0.0554,0.966,126.257,152520,4
2005,0xQdisF8CHkso4LnJcaIM,Nine Million Bicycles,Katie Melua,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168,197160,4
2005,5p9XWUdvbUzmPCukOmwoU,Suddenly I See,KT Tunstall,0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,201707,4
2005,0jdeV5dSB3kUBRqe1xQJb,TRUE,Ryan Cabrera,0.598,0.4,6,-10.054,1,0.0241,0.459,0,0.151,0.369,96.938,203546,4
2005,08kTO4EW0jb07zNsCNM83,Chariot,Gavin DeGraw,0.281,0.779,7,-5.104,1,0.0514,0.0437,0,0.37,0.344,167.172,239173,4
2005,4QvTOAIVxL3NGgrIYU97p,Cool,Gwen Stefani,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,189333,4
2005,0ElmwRAsaxaUZXnMbaSll,All About You,McFly,0.542,0.559,1,-5.313,1,0.0258,0.197,0,0.0989,0.295,129.898,186867,4
2005,7clUVcSOtkNWa58Gw5RfD,Speed of Sound,Coldplay,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,287907,4
2005,3qaSqrrevBrb84xl5Jlpt,Dakota,Stereophonics,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994,297427,4
2005,4PFAm88FBkY7IFtvCaGct,Breakaway,Kelly Clarkson,0.268,0.716,9,-4.151,0,0.0337,0.0421,9.88E-06,0.108,0.393,160.008,237000,3
2005,3ZffCQKLFLUvYM59XKLbV,Wake Me up When September Ends,Green Day,0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,285653,4
2005,1JURww012QnWAw0zZXi6A,Just the Girl,The Click Five,0.571,0.89,9,-1.6,1,0.0395,0.00509,0,0.0769,0.751,110.958,234147,4
2005,2ZudaDYcCTgqqYPV0TrNn,Shiver,Natalie Imbruglia,0.489,0.798,1,-4.49,1,0.0316,0.00115,2.81E-06,0.149,0.309,94.163,222653,4
