year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2003,7iL6o9tox1zgHpKUfh9vu,In Da Club,50 Cent,0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,193467,4
2003,5qTvkDrSfvwDv6RBjjcfQ,Get Busy,Sean Paul,0.735,0.824,10,-4.143,0,0.036,0.615,0,0.158,0.726,100.202,211666,4
2003,7vFv0yFGMJW3qVXbAd9BK,Your Body Is a Wonderland,John Mayer,0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,249627,4
2003,5IVuqXILoxVWvWEPm82Jx,Crazy In Love,Beyoncé,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,236133,4
2003,1AdYZ6X00nXmO613Y7GJO,I Miss You,blink-182,0.423,0.714,11,-8.295,1,0.045,0.00113,6.28E-06,0.0855,0.593,110.017,227250,4
2003,1FreAz1lmnDi5aKLB6GdF,Where Is The Love?,Black Eyed Peas,0.835,0.687,5,-3.18,1,0.184,0.101,0,0.132,0.828,94.059,272533,4
2003,0E29BKKGCJHcb7b9oIWgG,Calling All Angels,Train,0.454,0.839,3,-5.368,1,0.0441,0.0746,0,0.279,0.529,166.166,242200,4
2003,0COqiPhxzoWICwFCS4eZc,Bring Me To Life,Evanescence,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06E-06,0.242,0.296,94.612,235893,4
2003,3TCauNPqFiniaYHBvEVoH,Beautiful,Christina Aguilera,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05E-06,0.114,0.0992,76.19,238560,4
2003,0KTfZWEWivacSuZSjUe7J,Big Yellow Taxi,Counting Crows,0.669,0.873,8,-4.315,1,0.0494,0.00204,0,0.137,0.827,88.029,225427,4
2003,5ht9FVBi07F48ZAfIf7Wd,White Flag,Dido,0.512,0.531,5,-6.789,1,0.0402,0.33,3.50E-06,0.0811,0.302,169.951,240040,4
2003,1jlG3KJ3gdYmhfuySFfpO,I'm with You,Avril Lavigne,0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,223067,3
2003,2fE4MbwX3QGMzNaMjGVht,Say Yes,Floetry,0.747,0.398,5,-12.932,0,0.0743,0.211,1.42E-06,0.113,0.428,117.901,268373,1
2003,0BCPKOYdS2jbQ8iyB56Zn,Clocks,Coldplay,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,307880,4
2003,6Bm6qUCSatPAqkQllFL7o,Unwell,Matchbox Twenty,0.256,0.788,6,-5.263,0,0.0403,0.0298,0,0.707,0.429,80.718,228707,4
2003,6B6aCxSBsECsulzOkJRxG,If You're Not The One,Daniel Bedingfield,0.688,0.538,10,-7.608,1,0.0292,0.504,0,0.111,0.27,119.998,257027,4
2003,57Xjny5yNzAcsxnusKmAf,Reptilia,The Strokes,0.486,0.666,9,-5.084,1,0.033,0.000563,0.789,0.101,0.741,157.992,219754,4
2003,4mZsyuthp695XQWwb2g3q,Leave Right Now,Will Young,0.645,0.458,6,-8.7,1,0.0379,0.149,0,0.144,0.381,81.978,213560,4
2003,2md2i5QvelRFnafpnd6LO,Meant to Live,Switchfoot,0.397,0.903,2,-4.577,1,0.0457,0.00575,1.60E-06,0.362,0.556,151.551,201373,4
2003,0tRQ7UZtDQtKUkFFRtyTy,Too Lost In You,Sugababes,0.586,0.705,1,-4.904,0,0.0287,0.0485,0,0.15,0.459,98.014,237693,4
2003,0RFgvrhkf9FiDRLA0Bhzp,Drift Away,Uncle Kracker,0.583,0.66,11,-5.078,1,0.0377,0.181,0,0.0979,0.861,151.956,255560,4
2003,756CJtQRFSxEx9jV4P9hp,I Believe in a Thing Called Love,The Darkness,0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71E-06,0.282,0.622,128.235,217653,4
2003,3YuaBvuZqcwN3CEAyyoae,Like a Stone,Audioslave,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,293960,4
2003,69j0KoPJuwpnbGWrfn7Yl,Picture (feat. Sheryl Crow),Kid Rock,0.692,0.496,7,-7.332,1,0.0241,0.172,6.42E-06,0.107,0.376,97.945,298960,4
2003,41IShViF79gmulEkIHAjc,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,Santana,0.59,0.929,2,-3.236,1,0.0478,0.0714,0.000153,0.0598,0.674,119.818,254467,4
2003,1YZBMqN8kHaaRPXpQTC3k,Rain On Me,Ashanti,0.606,0.699,8,-3.103,0,0.0337,0.343,1.89E-06,0.0757,0.509,83.701,297960,4
2003,6mZCiuIXcA12syIS23Dyx,Come Undone,Robbie Williams,0.375,0.57,11,-5.364,1,0.0283,0.0385,4.37E-06,0.354,0.255,167.734,278440,4
2003,0yHConG49418wPs8UfAt4,Into You (feat. Tamia),Fabolous,0.546,0.538,7,-7.886,0,0.0523,0.233,0,0.118,0.58,182.12,295773,4
2003,3CZlTOyNnKVMb021IYEY6,The Jump Off (feat. Mr. Cheeks) - Remix,Lil' Kim,0.853,0.752,1,-8.831,1,0.339,0.178,4.65E-06,0.0553,0.935,104.946,234800,4
2003,1XE1UGRpvvkaFEeqe1OJp,Don't Wanna Try,Frankie J,0.655,0.433,5,-7.577,0,0.0348,0.444,0,0.221,0.199,130.127,245293,4
2003,3OQu3z3okKVmWxSXTTHak,Put That Woman First,Jaheim,0.649,0.536,5,-8.804,0,0.132,0.492,0,0.184,0.513,78.935,245773,4
2003,1w0JL6vJdl82xqyRW30Hr,Lost Without You,Delta Goodrem,0.581,0.747,7,-6.682,1,0.0283,0.0365,1.69E-06,0.193,0.514,146.301,248547,4
2003,6pWzCKTrKrwbUPzY8RLCo,Rock Wit U (Awww Baby),Ashanti,0.71,0.797,4,-3.006,0,0.0582,0.408,0,0.16,0.849,94.998,209120,4
