year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2011,1eq1wUnLVLg4pdEfx9kaj,Rolling in the Deep,Adele,0.73,0.77,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,228093,4
2011,7pYfyrMNPn3wtoCyqcTVo,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,0.722,0.761,11,-4.459,0,0.0475,0.0117,0,0.315,0.624,128.044,201493,4
2011,7mitXLIMCflkhZiD34uEQ,Party Rock Anthem,LMFAO,0.751,0.736,5,-4.168,0,0.156,0.0206,0,0.265,0.352,130.014,262147,4
2011,1mXuMM6zjPgjL4asbBsgn,Firework,Katy Perry,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,227893,4
2011,4lLtanYk6tkMvooU0tWzG,Grenade,Bruno Mars,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110.443,223253,4
2011,05lBuZWQ2OhQuzoCSIkvU,Holocene,Bon Iver,0.379,0.306,1,-14.446,1,0.0305,0.942,0.323,0.123,0.157,147.902,336613,4
2011,1gv4xPanImH17bKZ9rOve,Raise Your Glass,P!nk,0.7,0.709,7,-5.006,1,0.0839,0.0048,0,0.0289,0.625,122.019,202960,4
2011,4RL77hMWUq35NYnPLXBpi,Skinny Love,Birdy,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201080,4
2011,2jSwKQBouf0brIcxGfA9C,Super Bass,Nicki Minaj,0.72,0.861,11,-4.339,1,0.209,0.269,5.11E-06,0.601,0.669,126.991,200013,4
2011,4lY95OMGb9WxP6IYut64i,Shake It Out,Florence + The Machine,0.527,0.804,10,-4.168,1,0.0358,0.0104,0,0.105,0.221,107.486,277720,4
2011,6DDoFN7yNQmL2YXojqAk8,L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,0.608,0.745,4,-5.82,1,0.0354,0.205,0,0.342,0.595,82.003,226947,4
2011,0IF7bHzCXCZoKNog5vBC4,Wherever You Will Go,Charlene Soraia,0.597,0.115,9,-9.217,1,0.0334,0.82,0.000215,0.111,0.128,111.202,197577,4
2011,0GO8y8jQk1PkHzS31d699,Tongue Tied,Grouplove,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,218013,4
2011,1VdZ0vKfR5jneCmWIUAMx,The A Team,Ed Sheeran,0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,258373,4
2011,05ZACkzW8YbRq3eFgIfSN,Springsteen,Eric Church,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77E-05,0.185,0.927,104.023,263387,4
2011,6z5Yh7kOKeLjqIsNdokIp,A Thousand Years,Christina Perri,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,3
2011,2TUzU4IkfH8kcvY2MUlsd,I Won't Let You Go,James Morrison,0.537,0.611,0,-6.427,1,0.0304,0.229,0,0.146,0.161,105.955,229303,4
2011,4aY0tZIaboefmkBEsjAov,If I Die Young,The Band Perry,0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,130.739,222773,4
