year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2009,4kLLWz7srcuLKA7Et40PQ,I Gotta Feeling,Black Eyed Peas,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,289133,4
2009,1QV6tiMFM6fSOKOGLMHYY,Poker Face,Lady Gaga,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64E-06,0.121,0.787,118.999,237200,4
2009,2PLi7OmleXPNBrGLon3sU,Sweet Disposition,The Temper Trap,0.542,0.813,2,-6.89,1,0.0429,0.0765,0.252,0.116,0.305,129.09,234360,4
2009,456WNXWhDwYOSf5SpTuqx,Dog Days Are Over,Florence + The Machine,0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,252819,4
2009,3GpbwCm3YxiWDvy29Uo3v,Right Round,Flo Rida,0.72,0.672,7,-6.852,1,0.0551,0.009,0,0.232,0.705,124.986,204640,4
2009,3ZHfX6kbiY7JVsB63lLOL,The Only Exception,Paramore,0.452,0.563,4,-6.607,1,0.0272,0.144,0,0.143,0.209,137.715,267653,3
2009,1D4PL9B8gOg78jiHg3FvB,Love Story,Taylor Swift,0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,236267,4
2009,2igwFfvr1OAGX9SKDCPBw,Empire State Of Mind,JAY-Z,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,276920,4
2009,7zkDEBSxkcBVsStS4qBFp,Lisztomania,Phoenix,0.635,0.786,0,-6.46,1,0.0377,0.0349,0.00767,0.497,0.305,97.54,241547,4
2009,57uX2vR9j9DNiANDYfXw1,Never Say Never,The Fray,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18E-06,0.176,0.262,160.139,256613,4
2009,127uq83uGFapbddqiMUKk,Sexy Bitch (feat. Akon),David Guetta,0.813,0.627,11,-5.018,0,0.0486,0.076,0.000616,0.131,0.801,130.011,195853,4
2009,0bXpmJyHHYPk6QBFj25bY,Intro,The xx,0.617,0.778,9,-8.871,0,0.027,0.459,0.925,0.128,0.152,100.363,127920,4
2009,3mJq2ZlI3ZN8hvmRSdzRy,Fallin' For You,Colbie Caillat,0.645,0.825,4,-6.473,1,0.0273,0.161,0,0.114,0.641,117.037,215320,4
2009,1fyysXwSGNtMeqMBLwW3S,Breakeven,The Script,0.63,0.696,10,-4.501,1,0.0242,0.144,0,0.0835,0.491,94.034,261427,4
2009,244AvzGQ4Ksa5637JQu5G,You've Got The Love,Florence + The Machine,0.574,0.694,6,-4.697,1,0.0327,0.00481,0,0.102,0.401,109.85,168667,4
2009,22NLm3IIR9NLG0cUYtmHM,Pretty Wings - uncut,Maxwell,0.563,0.402,9,-10.496,1,0.0668,0.252,2.07E-06,0.0886,0.2,115.561,310520,4
2009,1MaqkdFNIKPdpQGDzme5s,Two Is Better Than One,Boys Like Girls,0.521,0.702,0,-5.189,1,0.0331,0.189,0,0.0962,0.25,127.976,242840,4
2009,4IoYz8XqqdowINzfRrFnh,You Found Me,The Fray,0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,241853,4
2009,5r5cp9IpziiIsR6b93vcn,Walking On A Dream,Empire of the Sun,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52E-06,0.0589,0.716,126.975,198440,4
2009,1NhPKVLsHhFUHIOZ32QnS,Secrets,OneRepublic,0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148.021,224693,4
2009,1ZCCVA90RcBOyiPPJPoNd,Red,Daniel Merriweather,0.422,0.67,4,-5.955,1,0.0292,0.107,0,0.11,0.119,95.797,233213,4
2009,4fq2YUONcgrCJ2SPndSeK,Already Gone,Kelly Clarkson,0.209,0.872,9,-2.996,1,0.0757,0.217,0,0.0768,0.294,78.139,281560,4
2009,4ZC8hXXqu2hPcDLw9QTdt,Smile,Uncle Kracker,0.541,0.812,4,-3.764,1,0.0336,0.203,0,0.42,0.607,141.056,201627,4
2009,1EzrEOXmMH3G43AXT1y7p,I'm Yours,Jason Mraz,0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,242187,4
2009,7lIyBKp2KX7ABDjDfo9Et,The Fear,Lily Allen,0.661,0.847,10,-6.948,1,0.0404,0.419,8.82E-05,0.107,0.522,134.002,207120,4
2009,5VGlqQANWDKJFl0MBG3sg,Use Somebody,Kings of Leon,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760,4
2009,6jBUP2KCe821yqf1hiBqP,Broken Strings,James Morrison,0.57,0.717,1,-4.914,1,0.029,0.00967,0,0.0833,0.321,111.91,250453,4
2009,5x5JM1BSB6vollcIzDocq,The Climb,Miley Cyrus,0.336,0.602,4,-6.354,1,0.0325,0.0635,0,0.141,0.299,161.01,234520,4
2009,4fIWvT19w9PR0VVBuPYpW,Haven't Met You Yet,Michael Bublé,0.615,0.733,8,-4.808,1,0.0335,0.152,0,0.109,0.796,122.58,244587,4
2009,0Ln5tJyLX5qusquBOtq7w,Fire,Kasabian,0.525,0.741,10,-5.643,1,0.0311,0.0874,0.147,0.117,0.179,117.031,252280,4
2009,3DamFFqW32WihKkTVlwTY,Fireflies,Owl City,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,228347,4
2009,0CwYG1UnRmOx8Q1EzElCI,Second Chance,Shinedown,0.46,0.796,0,-4.501,0,0.0333,0.00107,0,0.106,0.182,100.011,222067,4
2009,4kgTdThcDHfuDS2kKxB7L,You Belong With Me,Taylor Swift,0.687,0.771,6,-4.424,1,0.0384,0.164,2.46E-05,0.112,0.445,129.964,231147,4
2009,4iHUBqALsttdeXVRXlTMQ,Please Don't Leave Me,P!nk,0.587,0.839,6,-4.493,1,0.0363,0.00985,0,0.289,0.763,138.006,231560,4
2009,4JehYebiI9JE8sR8MisGV,Halo,Beyoncé,0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,261640,4
2009,6yRraj2ghJiIcVbQ6Vb59,In For The Kill,La Roux,0.629,0.969,8,-0.276,0,0.0455,0.00184,0,0.122,0.905,150.01,248627,4
2009,0CINJz55gaKzuAsqhZ0hE,Waking Up In Vegas,Katy Perry,0.524,0.878,5,-3.108,0,0.0346,0.0012,0,0.098,0.59,130.989,199187,4
2009,1cDRpJiJa94Voj0Ayc9iG,Not Fair,Lily Allen,0.718,0.806,5,-9.191,1,0.0376,0.052,0.0137,0.0932,0.929,121.488,202547,4
2009,64yrDBpcdwEdNY9loyEGb,21 Guns,Green Day,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,321093,4
2009,0ntQJM78wzOLVeCUAW7Y4,Sex on Fire,Kings of Leon,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4
2009,5XRHGXut00SrJUFmcn2lQ,All The Right Moves,OneRepublic,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35E-06,0.283,0.65,146.024,238000,4
2009,3RBGG1be9aBaSvjnw6ABk,Rockin' That Shit,The-Dream,0.672,0.62,8,-4.865,1,0.0422,0.123,0,0.362,0.627,78.005,221920,4
2009,3kMrazSvILsgcwtidZd1Q,Bulletproof,La Roux,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47E-05,0.068,0.682,123.016,205733,4
2009,20X9OeC606XNwEtDBOym5,Love Drunk,Boys Like Girls,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39E-06,0.16,0.412,150.005,226707,4
2009,5gb9UJkh8TfrNMRYOJNbe,Gives You Hell,The All-American Rejects,0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,213107,4
2009,1kxeWHF9PrCVZHvVskv8l,Love Lockdown,Kanye West,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,270307,4
2009,4VqPOruhp5EdPBeR92t6l,Uprising,Muse,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
2009,4LxjagX6D8MxMaoTmqpQ8,Mad,Ne-Yo,0.731,0.644,0,-5.348,1,0.0343,0.665,0,0.11,0.691,129.94,254533,4
2009,3tSuRiNgJmMqmYR23dCqn,I Hate This Part,The Pussycat Dolls,0.756,0.612,5,-4.371,1,0.0317,0.0659,0,0.274,0.452,111.572,218400,4
2009,4Dm32oO01YpIubCHaAtKk,My Life Would Suck Without You,Kelly Clarkson,0.526,0.882,9,-4.006,1,0.0509,0.0014,0,0.144,0.424,144.982,211493,4
2009,02XnQdf7sipaKBBHixz3Z,Paparazzi,Lady Gaga,0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,208307,4
2009,1GxHeBvQ9935Dd3cSfsfB,Best I Ever Had,Drake,0.431,0.894,5,-2.673,0,0.33,0.0951,0,0.188,0.605,162.161,258760,4
2009,4hJNA7VCBfNDly2Lz1SKA,Battlefield,Jordin Sparks,0.613,0.634,2,-3.472,1,0.0339,0.0178,0,0.0639,0.37,144.953,241920,4
