year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2007,6RX5iL93VZ5fKmyvNXvF1,Irreplaceable,Beyoncé,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46E-06,0.167,0.509,175.868,227853,4
2007,49FYlytm3dAAraYgpoJZu,Umbrella,Rihanna,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4
2007,5hnyJvgoWiQUYZttV4wXy,Chasing Cars,Snow Patrol,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47E-05,0.132,0.144,104.011,267960,4
2007,3Q4WeJmzxuDpzMu9QjQqb,Big Girls Don't Cry (Personal),Fergie,0.708,0.641,7,-4.296,1,0.0335,0.205,0,0.0945,0.253,113.082,268120,4
2007,4BfRDZLIiznSnwU7DdDL9,Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,0.698,0.843,1,-4.789,1,0.0544,0.00253,0.000454,0.124,0.894,105.83,219413,4
2007,4RCWB3V8V0dignt99LZ8v,Hey There Delilah,Plain White T's,0.656,0.291,2,-10.572,1,0.0293,0.872,0,0.114,0.298,103.971,232533,4
2007,3pD0f7hSJg2XdQ6udw5Te,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76,448573,4
2007,07K4GcCDSTiXUF5ssyTRU,The Sweet Escape,Gwen Stefani,0.756,0.77,1,-3.502,1,0.0343,0.191,0,0.178,0.73,119.961,246467,4
2007,1lkvpmrCaXK8QtliFDcHB,Bubbly,Colbie Caillat,0.688,0.477,9,-6.684,1,0.036,0.594,0,0.115,0.257,127.866,196227,4
2007,265Anh9hGoozFigjUVLUe,New Shoes,Paolo Nutini,0.748,0.735,8,-8.692,1,0.0903,0.47,1.09E-05,0.0851,0.854,150.04,203653,4
2007,4T6HLdP6OcAtqC6tGnQel,Everything,Michael Bublé,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03E-06,0.0924,0.493,123.125,212373,4
2007,5JkTN6THtYH6bpOoHjOys,Foundations,Kate Nash,0.502,0.904,0,-4.01,1,0.0774,0.0886,0,0.0839,0.868,84.461,245173,4
2007,5fVZC9GiM4e8vu99W0Xf6,How to Save a Life,The Fray,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,262533,4
2007,6yLX8QnxlnEqZfs3YKCfj,Tears Dry On Their Own,Amy Winehouse,0.643,0.871,1,-2.734,0,0.118,0.491,0,0.29,0.452,121.569,185187,4
2007,4UPcXTh26ilb7owtuyHqN,Keep Holding On,Avril Lavigne,0.274,0.786,7,-2.354,1,0.0333,0.0374,0,0.143,0.146,161.061,239907,3
2007,0TzbmxnYrlMV6dEln2l9n,Happy Ending,MIKA,0.564,0.437,1,-8.375,1,0.0285,0.552,0,0.217,0.307,96.018,273800,4
2007,1K6VhaiVOv0I0uDawxyzO,Here (In Your Arms) - Radio Edit,Hellogoodbye,0.697,0.608,5,-6.809,1,0.036,0.2,0.00305,0.273,0.803,126.053,240547,4
2007,2x8evxqUlF0eRabbW2JBJ,Fluorescent Adolescent,Arctic Monkeys,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,183893,4
2007,1BV0m40U0M4t1SLIsDnwZ,1973,James Blunt,0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.0789,0.768,123.007,280027,4
