year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2019,2YpeDb67231RjR0MgVLzs,Old Town Road - Remix,Lil Nas X,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
2019,2Fxmhks0bxGSBdJ92vM42,bad guy,Billie Eilish,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
2019,6v3KW9xbzN5yKLt9YKDYA,Señorita,Shawn Mendes,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
2019,6ocbgoVGwYJhOv1GgI9Ns,7 rings,Ariana Grande,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4
2019,0RiRZpuVRbi7oqRdSMwhQ,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,4
2019,6UnCGAEmrbGIOSmGRZQ1M,Light On,Maggie Rogers,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38E-05,0.126,0.399,102.054,233880,4
2019,5p7ujcrUXASCNwRaWNHR1,Without Me,Halsey,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,201661,4
2019,1dGr1c8CrMLDpV6mPbImS,Lover,Taylor Swift,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58E-05,0.118,0.453,68.534,221307,4
2019,2VxeLyX666F8uXCJ0dZF8,Shallow,Lady Gaga,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
2019,43zdsphuZLzwA9k4DJhU0,when the party's over,Billie Eilish,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97E-05,0.0897,0.198,82.642,196077,4
2019,7qEHsqek33rTcFNT9PFqL,Someone You Loved,Lewis Capaldi,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
2019,0Oqc0kKFsQ6MhFOLBNZIG,Doin' Time,Lana Del Rey,0.649,0.538,7,-11.196,0,0.0519,0.372,0.00632,0.0951,0.496,144.979,202193,4
2019,3cWI6Hj9LQ0MfMuhw9uSM,Lost Without You,Freya Ridings,0.386,0.136,6,-9.267,1,0.0458,0.932,0,0.0653,0.0976,67.016,225853,3
2019,44ADyYoY5liaRa3EOAl4u,Slide Away,Miley Cyrus,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83E-06,0.248,0.288,148.051,233654,4
2019,4Of7rzpRpV1mWRbhp5rAq,Bruises,Lewis Capaldi,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,220492,4
2019,6UjZ2Yx2g2a52XxiA8ONx,Outnumbered,Dermot Kennedy,0.614,0.684,0,-5.79,1,0.157,0.247,0,0.0976,0.258,156.85,245700,4
2019,0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
2019,1HfMVBKM75vxSfsQ5VefZ,Lose You To Love Me,Selena Gomez,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4
2019,03x2rVJRFUrvwlfxoHd9M,Just You and I,Tom Walker,0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,174983,4
2019,21jGcNKet2qwijlDFuPiP,Circles,Post Malone,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
2019,60iSKGrGazRzICtMjADNS,Hold Me While You Wait,Lewis Capaldi,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,205687,4
2019,19kUPdKTp85q9RZNwaXM1,Good as You,Kane Brown,0.634,0.516,8,-6.05,1,0.0373,0.4,0,0.142,0.769,153.831,192053,4
2019,1tNJrcVe6gwLEiZCtprs1,3 Nights,Dominic Fike,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,177667,4
2019,1oLSje4Ot5qRUq8FqYeXO,Don’t Feel Like Crying,Sigrid,0.749,0.814,5,-3.769,0,0.0404,0.156,0,0.0673,0.715,119.964,157010,4
2019,7COXchtUOMd6uIT6HvmRa,i'm so tired...,Lauv,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583,4
2019,2qxmye6gAegTMjLKEBoR3,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,169354,4
2019,6RRNNciQGZEXnqk8SQ9yv,You Need To Calm Down,Taylor Swift,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360,4
2019,4SSnFejRGlZikf02HLewE,bury a friend,Billie Eilish,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
2019,27rdGxbavYJeBphck5MZA,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36E-06,0.388,0.244,114.066,217467,4
2019,6KgBpzTuTRPebChN0VTyz,Good as Hell,Lizzo,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,159736,4
2019,7DHApOHsIFo7EyfieArYG,Walk Me Home,P!nk,0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,177391,3
2019,2wrJq5XKLnmhRXHIAf9xB,"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
2019,4T3fNx3CgwDRRYgmFCbD4,Better,Khalid,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,229413,4
2019,0pEkK8MqbmGSX7fT8WLMb,Grace,Lewis Capaldi,0.722,0.565,4,-5.848,1,0.0335,0.435,0,0.165,0.488,104.483,185658,4
2019,5hVghJ4KaYES3BFUATCYn,EARFQUAKE,"Tyler, The Creator",0.554,0.498,9,-8.866,1,0.0685,0.23,5.98E-06,0.795,0.413,79.635,190067,4
2019,6b2RcmUt1g9N9mQ3CbjX2,How Do You Sleep?,Sam Smith,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202205,5
2019,5qmq61DAAOUaW8AUo8xKh,Truth Hurts,Lizzo,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
2019,5PYQUBXc7NYeI1obMKSJK,Never Really Over,Katy Perry,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523,4
2019,7FGq80cy8juXBCD2nrqdW,Eastside (with Halsey & Khalid),benny blanco,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
2019,56JyMaElW79S7TDWh1Zw1,On A Roll,Ashley O,0.737,0.81,5,-6.354,1,0.0896,0.077,0,0.0523,0.387,125.005,154448,4
2019,6oJ6le65B3SEqPwMRNXWj,Higher Love,Kygo,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05E-06,0.101,0.404,103.952,228267,4
2019,6Qs4SXO9dwPj5GKvVOv8K,Dancing With A Stranger (with Normani),Sam Smith,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,171030,4
2019,5icOoE6VgqFKohjWWNp0A,Here With Me,Marshmello,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156347,4
2019,6ZRuF2n1CQxyxxAAWsKJO,Nights Like This (feat. Ty Dolla $ign),Kehlani,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,201788,4
2019,6TqXcAFInzjp0bODyvrWE,Talk (feat. Disclosure),Khalid,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,197573,4
2019,6LsAAHotRLMOHfCsSfYCs,If I Can't Have You,Shawn Mendes,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,190800,4
2019,4NSW0Km5ZG60L8FthUebP,What I Like About You (feat. Theresa Rex),Jonas Blue,0.46,0.8,1,-3.584,1,0.05,0.289,6.16E-06,0.121,0.553,102.46,220396,4
2019,5KawlOMHjWeUjQtnuRs22,Boy With Luv (feat. Halsey),BTS,0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,229773,4
2019,6vBdBCoOhKHiYDDOcorfN,Goodbyes (Feat. Young Thug),Post Malone,0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960,4
2019,2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
2019,6Hj9jySrnFppAI0sEMCZp,Robbery,Juice WRLD,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,240051,5
2019,70eFcWOvlMObDhURTqT4F,Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,197867,4
2019,4tNXntkAzQ5A2dfYRYGII,Easier,5 Seconds of Summer,0.505,0.428,5,-5.604,1,0.221,0.489,0,0.0977,0.618,175.813,157493,4
2019,0DiDStADDVh3SvAsoJAFM,Only Human,Jonas Brothers,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000,4
2019,6WrI0LAC5M1Rw2MnX2ZvE,Don't Start Now,Dua Lipa,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
2019,3z4CGd63tpUn9a6oQSG0C,Location (feat. Burna Boy),Dave,0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,241293,4
2019,0Ryd8975WihbObpp5cPW1,boyfriend (with Social House),Ariana Grande,0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,186107,4
2019,0hVXuCcriWRGvwMV1r5Yn,I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219947,4
2019,4u7EnebtmKWzUH433cf5Q,Bohemian Rhapsody - 2011 Mix,Queen,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,354320,4
2019,22vgEDb5hykfaTwLuskFG,Sucker,Jonas Brothers,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181027,4
2019,4hPpVbbakQNv8YTHYaOJP,One Thing Right,Marshmello,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,181824,4
2019,2XU0oxnq2qxCpomAAuJY8,Dance Monkey,Tones And I,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4
2019,2TH65lNHgvLxCKXM3apjx,Callaita,Bad Bunny,0.61,0.624,2,-4.773,1,0.309,0.6,2.12E-06,0.243,0.244,176.169,250534,4
2019,3e9HZxeyfWwjeyPAMmWSS,"thank u, next",Ariana Grande,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320,4
2019,2t8yVaLvJ0RenpXUIAC52,a lot,21 Savage,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
2019,0rIAC4PXANcKmitJfoqmV,Motivation,Normani,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21E-06,0.3,0.881,170.918,193837,4
2019,2KKijf6Ett4kmVNJze2ro,The Git Up,Blanco Brown,0.847,0.678,9,-8.635,1,0.109,0.0669,0,0.274,0.811,97.984,200594,4
2019,1rqqCSm0Qe4I9rUvWncao,High Hopes,Panic! At The Disco,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
2019,1Ej96GIBCTvgH7tNX1r3q,Otro Trago,Sech,0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,225933,4
2019,18PergoIrGmRyeYxnaXJN,Kill This Love,BLACKPINK,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052,4
2019,543bCW2ruMPmxUBWirQ3M,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,206187,4
2019,5N1o6d8zGcSZSeMFkOUQO,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96E-06,0.214,0.57,98.985,199427,4
2019,1yAPglN5AGf7UoLK062ZY,Wish You Well,Sigala,0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.975,205653,4
2019,7qvsl2pYzrsYgPeFBN5jx,Juicy,Doja Cat,0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037,202333,4
2019,2x0RZdkZcD8QRI53XT4GI,SOS (feat. Aloe Blacc),Avicii,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,157202,4
2019,0qc4QlcCxVTGyShurEv1U,Post Malone (feat. RANI),Sam Feldt,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444,4
2019,0uUNN1nSoUx1A4fkDCWDQ,So Am I,Ava Max,0.682,0.656,6,-4.67,1,0.0435,0.0737,0,0.353,0.607,130.089,183027,4
2019,44ZJ4hLD5onikKsVLQaIL,Vossi Bop,Stormzy,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,196267,4
2019,073ILU1C3APNRGF66Vhty,Liar,Camila Cabello,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4
2019,5iwz1NiezX7WWjnCgY5TH,Calma - Remix,Pedro Capó,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4
2019,5itOtNx0WxtJmi1TQ3RuR,Giant (with Rag'n'Bone Man),Calvin Harris,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229184,4
2019,132ALUzVLmqYB4UsBj5qD,Adan y Eva,Paulo Londra,0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0745,0.72,171.993,256972,4
2019,5W83ErFkO3aKAIS1WMi6u,Secreto,Anuel AA,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
2019,2JvzF1RMd7lE3KmFlsyZD,MIDDLE CHILD,J. Cole,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4
2019,6y1UtRcHQU07aUs3oxZ8Y,Sorry,Joel Corry,0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640,4
2019,2gwkD6igEhQbDQegRCcdo,Suge,DaBaby,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,163320,4
2019,7b4ky1LlQLFhXHmhZkFgq,Ladbroke Grove,AJ Tracey,0.903,0.839,11,-9.447,0,0.208,0.0939,0,0.102,0.727,133.986,190537,4
2019,23GvTfcGK454ppLsts3W4,Strike a Pose (feat. Aitch),Young T & Bugsey,0.531,0.581,1,-5.801,1,0.101,0.0107,1.62E-05,0.101,0.591,137.776,214204,5
2019,4kV4N9D1iKVxx1KLvtTpj,"break up with your girlfriend, i'm bored",Ariana Grande,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,190440,4
2019,2tnVG71enUj33Ic2nFN6k,Ride It,Regard,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43E-05,0.106,0.884,117.948,157606,4
2019,239AbcyCSYFkBmWrGAlBk,Shotta Flow (feat. Blueface) [Remix],NLE Choppa,0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08,176632,4
2019,5Jqg1ta5RhBIYuJ1gdHCA,Options,NSG,0.836,0.621,1,-4.684,0,0.0894,0.389,9.16E-05,0.104,0.762,101.993,240082,4
2019,5KBARWIxeMGkvUax9VtVC,My Type,Saweetie,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,126446,4
2019,25sgk305KZfyuqVBQIahi,Sweet but Psycho,Ava Max,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
