year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2012,1qDrWA6lyx8cLECdZE7TV,Somebody That I Used To Know,Gotye,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,244885,4
2012,5unfeZUhKhICP73CDYBW4,Call Me Maybe,Carly Rae Jepsen,0.778,0.615,7,-6.529,1,0.0384,0.0126,1.44E-06,0.108,0.648,120.045,193467,4
2012,3ehrxAhYms24KLPG8FZe0,We Are Young (feat. Janelle Monáe),fun.,0.378,0.638,10,-5.576,1,0.075,0.02,7.66E-05,0.0849,0.735,184.086,250627,4
2012,0ltBH1JNzSvQJPjJpvTu9,Whistle,Flo Rida,0.754,0.933,0,-5.786,1,0.0448,0.0199,0,0.297,0.75,103.992,225000,4
2012,5Z7ygHQo02SUrFmcgpwsK,Wild Ones (feat. Sia),Flo Rida,0.624,0.889,5,-3.772,0,0.0504,0.101,0,0.227,0.45,127.019,233688,4
2012,1wAXODAAL6hY64ZdhrnjB,Drive By,Train,0.759,0.849,1,-3.198,0,0.0317,0.000983,1.51E-05,0.0864,0.73,122.033,196627,4
2012,0dvYprV2t3UA0MDc4nUuA,Starships - Edit,Nicki Minaj,0.746,0.723,11,-2.43,0,0.0844,0.162,0,0.254,0.739,125.02,210613,4
2012,5IWmU2PNimgYuTLddU2DR,Payphone,Maroon 5,0.738,0.744,4,-4.757,1,0.042,0.0222,0,0.331,0.556,110,231467,4
2012,1x6ACsKV4UdWS2FMuPFUi,Titanium - feat. Sia,David Guetta,0.599,0.803,0,-3.641,0,0.0986,0.069,0.137,0.129,0.233,126.057,245041,4
2012,1xN7BpTAWnZkuSLOtRP6Q,Euphoria - Single Version,Loreen,0.562,0.783,11,-4.727,0,0.0428,0.135,1.44E-05,0.282,0.391,132.06,181787,4
2012,14fmbvjYLqRZEXz1VZdM2,We Found Love,Rihanna,0.755,0.74,1,-4.951,1,0.0407,0.0225,0.00139,0.124,0.609,127.98,215760,4
2012,0JhKJg5ejeQ8jq89UQtnw,Levels - Radio Edit,Avicii,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,199904,4
2012,6VRhkROS2SZHGlp0pxndb,Bangarang (feat. Sirah),Skrillex,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22E-05,0.317,0.576,110.026,215253,4
2012,4bi73jCM02fMpkI11Lqmf,Ai Se Eu Te Pego - Live,Michel Teló,0.674,0.937,11,-4.454,1,0.0699,0.347,0,0.702,0.834,96.051,165853,4
2012,2g7uRZ68eLtv74XrxgdT2,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,207333,4
2012,70Vdd1gx5tn84jkAU31AS,Sexy And I Know It,LMFAO,0.707,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.021,199480,4
2012,3SPDQfj2UfWq6A2NllZnz,What Makes You Beautiful,One Direction,0.729,0.771,4,-2.451,1,0.0725,0.00761,0,0.087,0.873,125.011,198053,4
2012,6t6oULCRS6hnI7rm0h5gw,Some Nights,fun.,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75E-05,0.0927,0.392,107.938,277040,4
2012,3NcO4jGK1Opb5ea0mYLpx,Good Feeling,Flo Rida,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4
2012,4Li2WHPkuyCdtmokzW200,Ni**as In Paris,JAY-Z,0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,219333,4
2012,1tjY4H0X706ZH03SXa1DF,Where Have You Been,Rihanna,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.223,0.444,127.963,242680,4
2012,39w8X3cyEiM4uxObz55Qm,Turn Me On - feat. Nicki Minaj,David Guetta,0.703,0.786,8,-2.243,1,0.0561,0.0666,0,0.553,0.475,127.954,199689,4
2012,6nek1Nin9q48AVZcWs9e9,Paradise,Coldplay,0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49E-05,0.0833,0.203,139.627,278719,4
2012,1R2SZUOGJqqBiLuvwKOT2,Gangnam Style (강남스타일),PSY,0.727,0.938,11,-2.872,0,0.288,0.00432,0,0.0911,0.757,132.077,219493,4
2012,7h8Ud480Fm4ReUVxgFF9Z,Rolling In The Deep,Adele,0.729,0.777,8,-5.112,1,0.0293,0.13,0,0.0541,0.527,104.946,228293,4
2012,62zFEHfAYl5kdHYOivj4B,International Love (feat. Chris Brown),Pitbull,0.669,0.855,0,-3.035,0,0.0499,0.0124,0,0.335,0.648,120.045,227280,4
2012,124NFj84ppZ5pAxTuVQYC,Take Care,Drake,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22E-05,0.0888,0.299,121.845,277387,4
2012,1nInOsHbtotAmEOQhtvnz,Stronger (What Doesn't Kill You),Kelly Clarkson,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947,4
2012,1CmmRxVeqXDdqbSoPy1Xg,She Doesn't Mind,Sean Paul,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.30E-06,0.207,0.622,120.015,227787,4
2012,07dYGGSrzPeg6a3KZjWX6,Boyfriend,Justin Bieber,0.719,0.535,10,-6.069,0,0.0641,0.0314,0.0017,0.141,0.276,96.982,171333,4
2012,6MreoQf8oixWI2xRcw3Fv,Mirror,Lil Wayne,0.328,0.622,5,-7.291,0,0.0866,0.858,0,0.104,0.401,74.267,228093,4
2012,45kbpUIFmkS9Xla7hMXpz,One More Night,Maroon 5,0.718,0.82,5,-3.453,0,0.0323,0.0444,0,0.0846,0.613,92.998,219467,4
2012,12Ns5IphkblPmHxpRILG9,Don't Wake Me Up,Chris Brown,0.602,0.691,7,-5.197,0,0.051,0.0548,0,0.144,0.206,127.967,222307,4
2012,7jEUxosffRXOZ7rNSajyg,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,0.723,0.758,9,-4.418,1,0.0506,0.0175,0,0.307,0.657,128.033,201240,4
2012,4GgOvZJ1vL1f6QTaPJdxX,Without You - feat. Usher,David Guetta,0.606,0.612,2,-3.676,1,0.028,0.211,3.70E-06,0.128,0.477,127.882,208135,4
2012,3JO3ywp8UufIiKkszm7Dk,Flytta på dej,Alina Devecerski,0.744,0.861,1,-3.51,0,0.0936,0.0455,0,0.321,0.689,129.88,205880,4
2012,36lqt57OHqk48BVFzPDEK,Midnight City,M83,0.521,0.752,11,-5.374,0,0.0369,0.0191,0,0.0682,0.3,105.051,243960,4
2012,2bfRfAO1RNWcpNtWJv042,Some Die Young,Laleh,0.631,0.678,5,-7.18,1,0.0273,0.122,7.06E-05,0.204,0.279,98.477,228067,4
2012,2gNAGt7gUiMkagkhIiDLP,Dansa Pausa,Panetoz,0.811,0.863,0,-4.64,1,0.103,0.0503,0,0.309,0.644,121.971,179000,4
2012,4bIuYvVh746iwXBxCdzRP,Sail,AWOLNATION,0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,259102,4
2012,6zX1edWck5DxIBWQMOUXO,This Is Love,will.i.am,0.523,0.804,0,-3.609,0,0.0471,0.00421,0,0.242,0.313,129.035,280947,4
2012,2vBF8A6n0REigm7RSUM65,The A Team,Ed Sheeran,0.626,0.286,9,-9.933,1,0.0374,0.678,0,0.134,0.366,84.954,258588,4
2012,7sziTn5nHwrWf4K7gISaa,Summer Paradise (feat. Sean Paul) - Single Version,Simple Plan,0.421,0.822,2,-4.415,1,0.0542,0.0132,0,0.092,0.751,171.935,234787,4
2012,1CNJyTUh56oj3OCZOZ5wa,Party Rock Anthem,LMFAO,0.752,0.727,5,-4.161,0,0.16,0.0246,0,0.272,0.361,130.015,263360,4
2012,0FRelX0g1nNDFt6nvtiak,Hangover,Taio Cruz,0.604,0.888,0,-3.282,0,0.0454,0.00868,0,0.117,0.635,128.032,244507,4
2012,5i7fZq3chLyCHo3VeB6go,First of the Year (Equinox),Skrillex,0.429,0.948,5,-3.657,0,0.227,0.00711,0.0148,0.0812,0.55,115.785,261517,3
2012,4sK96UnGx3NjBaqvfTG2d,Too Close,Alex Clare,0.584,0.712,11,-4.311,0,0.0395,0.0112,1.05E-06,0.114,0.286,126.043,256560,4
2012,1OXfWI3FQMdsKKC6lkvzS,Glad You Came,The Wanted,0.698,0.844,7,-4.549,0,0.067,0.0577,1.69E-05,0.105,0.446,126.937,198467,4
2012,62pIfDe2RdhUfYmRWdo9Z,Tacatà - Radio Edit,Tacabro,0.812,0.857,4,-6.034,1,0.103,0.0083,0,0.354,0.651,126.951,210000,4
2012,1oF75Qbv8UvOBm1imUAE5,Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,212862,4
2012,5w6TVvv71F8px5cObg2xn,Good Time,Owl City,0.554,0.878,3,-4.271,1,0.134,0.0216,5.76E-06,0.362,0.682,126.045,205933,4
2012,7w87IxuO7BDcJ3YUqCyMT,Pumped Up Kicks,Foster The People,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
2012,4d2hD63oUGU3s7L66JD0B,Dance Again,Jennifer Lopez,0.792,0.856,11,-5.236,0,0.067,0.0159,2.88E-06,0.0981,0.714,127.988,237267,4
2012,3GC3xIxWImpR7dfv2F81z,Greyhound,Swedish House Mafia,0.723,0.806,7,-4.805,0,0.0545,0.00702,0.846,0.267,0.552,125.029,411017,4
2012,1mFyO97Q5S43LidExg1iY,Live My Life,Far East Movement,0.665,0.756,9,-6.942,0,0.114,0.00277,1.01E-06,0.0811,0.525,127.974,239320,4
2012,5Sh5RqOkQ7dsjVx998BtS,Äckligt,Ansiktet,0.545,0.823,8,-7.324,1,0.0773,0.0133,0,0.0835,0.675,169.997,242200,4
2012,05pKAafT85jeeNhZ6kq7H,I Won't Give Up,Jason Mraz,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,240166,3
2012,481Lop9HUfHa4rLXECkLD,Little Talks,Of Monsters and Men,0.45,0.752,1,-5.184,1,0.0314,0.02,0,0.134,0.44,103.276,266613,4
2012,17qZsun9q3L8ceIa3kPz4,Tröjan du hatar,Norlie & KKV,0.699,0.814,0,-4.631,0,0.0562,0.0983,0,0.0747,0.967,119.983,209080,4
2012,6QPKYGnAW9QozVz2dSWqR,Someone Like You,Adele,0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,285240,4
2012,7wMq5n8mYSKlQIGECKUgT,Hall of Fame (feat. will.i.am),The Script,0.421,0.873,10,-4.343,1,0.0565,0.0653,0,0.123,0.63,84.803,202533,4
2012,6b8iBwOw4dATCDGJ9Edlj,Vart jag än går,Stiftelsen,0.451,0.773,7,-6.07,1,0.0335,0.148,0,0.229,0.64,195.083,208467,4
2012,56fwHfJaBpaauvFJrnwk2,She Wolf (Falling to Pieces) [feat. Sia],David Guetta,0.51,0.859,7,-2.479,1,0.0679,0.0639,1.56E-05,0.445,0.415,129.968,210577,4
