year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2002,0ARK753YaiJbpLUk7z5yI,Dilemma,Nelly,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4
2002,0gmbgwZ8iqyMPmXefof8Y,How You Remind Me,Nickelback,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,223840,4
2002,5hviCr3lgg6LY6noG6DPK,Landslide,The Chicks,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56E-05,0.187,0.444,145.948,230549,4
2002,75JFxkI2RXiU7L9VXzMkl,The Scientist,Coldplay,0.56,0.442,5,-7.224,1,0.0243,0.727,1.71E-05,0.11,0.212,146.448,309600,4
2002,5QpaGzWp0hwB5faV8dkbA,Wherever You Will Go,The Calling,0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,208600,4
2002,6Vecwo7AHst9V2CE3kmwr,No Such Thing,John Mayer,0.668,0.739,4,-4.919,1,0.0308,0.0383,0,0.13,0.571,131.918,231467,4
2002,7bvpr3Hk4NV4EAmbYid5d,Stop Crying Your Heart Out,Oasis,0.376,0.574,2,-5.335,1,0.0303,0.0683,1.28E-06,0.0721,0.102,74.935,303133,4
2002,4KqTGPPmXowMPEoShSVOt,Here Is Gone,The Goo Goo Dolls,0.338,0.685,1,-5.178,1,0.0322,0.00052,0.000512,0.109,0.221,102.192,238173,4
2002,6zMUIb4uce1CzpbjR3vMd,Foolish,Ashanti,0.665,0.695,0,-5.763,1,0.0532,0.347,0,0.106,0.707,90.119,227387,4
2002,3aw9iWUQ3VrPQltgwvN9X,Family Affair,Mary J. Blige,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12E-05,0.0863,0.969,92.887,265867,4
2002,1v2ECI79z8S4PQv9xYwIf,Soak Up The Sun,Sheryl Crow,0.711,0.735,4,-5.026,1,0.0432,0.0378,0,0.107,0.698,119.974,292133,4
2002,3U8UHbqKeR0jlkg8Qlwun,Handbags And Gladrags,Stereophonics,0.328,0.726,3,-3.935,1,0.0312,0.0286,0.000643,0.167,0.21,134.639,277387,4
2002,2LVxvGhl2U5p2ql2ujc6v,Hands Clean,Alanis Morissette,0.513,0.82,7,-5.428,1,0.0299,0.00192,2.83E-06,0.504,0.52,99.952,269400,4
2002,2nvC4i2aMo4CzRjRflysa,In My Place,Coldplay,0.425,0.587,9,-5.453,1,0.0278,0.0565,5.16E-06,0.298,0.194,144.642,226680,4
2002,3aePQpQPQ1k35NDvJ71YR,Underneath It All,No Doubt,0.729,0.731,4,-4.822,1,0.0684,0.232,1.57E-06,0.391,0.839,138.202,302720,4
2002,6B6aCxSBsECsulzOkJRxG,If You're Not The One,Daniel Bedingfield,0.688,0.538,10,-7.608,1,0.0292,0.504,0,0.111,0.27,119.998,257027,4
2002,0kr6d8wHDQPlzuET33NVn,All You Wanted,Michelle Branch,0.499,0.72,8,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,217680,4
2002,4kSKacywUJHdhyst4PL6p,Somethin' Stupid,Robbie Williams,0.654,0.515,0,-12.185,1,0.0261,0.429,5.62E-06,0.174,0.677,106.191,170493,4
2002,6GG73Jik4jUlQCkKg9JuG,The Middle,Jimmy Eat World,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,165853,4
2002,7DDhT4JJtpTNbf4sOWU6b,Little By Little,Oasis,0.41,0.64,2,-4.974,1,0.0271,0.0344,0.00525,0.115,0.123,145.848,292867,4
2002,0BCPKOYdS2jbQ8iyB56Zn,Clocks,Coldplay,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,307880,4
2002,15f8Cv8RXUlOOCIf2oace,Underneath Your Clothes,Shakira,0.616,0.597,8,-5.328,1,0.0415,0.686,0,0.104,0.362,165.508,224067,4
2002,6Far9mixuLOSu0Y5ectjf,A Moment Like This,Kelly Clarkson,0.414,0.574,8,-3.884,1,0.0304,0.167,0,0.115,0.155,71.796,228267,4
2002,2iWyrSHvs6qhFzfpiLAK0,Born to Try,Delta Goodrem,0.542,0.589,8,-6.813,1,0.0284,0.246,0,0.188,0.336,133.838,251280,4
2002,5fkDD7aQLUmMy1EwzNm0Z,A New Day Has Come - Radio Remix,Céline Dion,0.574,0.691,6,-5.103,1,0.035,0.0826,1.65E-05,0.149,0.195,91.969,259773,4
2002,6gsmFgUiSTuinJlScwFOD,I Love You,Faith Evans,0.489,0.757,11,-4.062,0,0.0926,0.00981,0,0.234,0.567,168.004,267160,4
2002,3oXNIpoUMdk8qGkwCeXqG,Halfcrazy - Album Version (Edited),Musiq Soulchild,0.412,0.77,11,-6.057,0,0.18,0.462,1.50E-06,0.0485,0.418,101.955,254493,3
2002,3nlT74t8h4XlV1D72pErh,Wasting My Time,Default,0.443,0.769,2,-5.529,1,0.0312,0.00138,0,0.0677,0.17,147.973,268693,4
2002,0FLBNqc5oAiTt4J2e3fe3,Blurry,Puddle Of Mudd,0.432,0.936,3,-4.537,0,0.0562,0.00691,0,0.14,0.499,157.469,303920,4
2002,1xg1yGPy1Y3YUf44s6TB1,"I'm Not a Girl, Not Yet a Woman",Britney Spears,0.534,0.543,3,-6.857,1,0.0245,0.579,0,0.112,0.418,78.996,231067,4
2002,7tbJozWewwmFvTkXCUFtt,If Tomorrow Never Comes,Ronan Keating,0.555,0.496,10,-6.136,1,0.028,0.333,0,0.0956,0.27,79.01,214307,4
2002,3Zg1941PbcmsxLmSaVJ3O,Evergreen,Will Young,0.596,0.561,0,-8.452,1,0.0305,0.33,0,0.0922,0.403,133.969,252076,4
2002,4GPwz80qwxmxX2D2vujUn,Colourblind,Darius,0.737,0.652,2,-4.393,1,0.0335,0.038,0,0.0699,0.881,108.175,215293,4
2002,1PAgmT6YqGhd6zT9kN9gI,Hero,Enrique Iglesias,0.346,0.641,7,-5.627,1,0.0504,0.136,8.40E-06,0.108,0.159,77.281,264240,4
2002,0eFklulxFnNCypNSrywzS,One Last Breath - Radio Version,Creed,0.38,0.725,2,-6.094,1,0.0365,0.00571,0.00015,0.3,0.202,130.581,242000,4
2002,074v54tSEWLbq3Hu5wf6u,The Whole World (feat. Killer Mike),OutKast,0.814,0.852,2,-6.176,1,0.401,0.0958,1.32E-06,0.0288,0.717,184.682,295347,3
2002,2vN5Hb3lVKRHj0LzBvafz,Hey Ma,Cam’ron,0.783,0.67,8,-5.049,1,0.372,0.0321,2.34E-06,0.362,0.956,90.359,220960,4
2002,0NMUFQdEFjftg0BQnyZCs,Love at First Sight,Kylie Minogue,0.603,0.774,3,-6.066,0,0.0428,0.0288,0.051,0.0533,0.48,124.994,238267,4
2002,4SyadrABZJIjeND1HPJS3,Rollout (My Business),Ludacris,0.921,0.668,7,-8.73,1,0.235,0.0949,0,0.592,0.892,131.059,296587,4
2002,7J41dYQolQJEtj3UmKLu5,U Got It Bad,Usher,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53E-06,0.0733,0.649,124.037,247840,4
2002,4anDsZBavxjw3Ktw6ICGY,Escape,Enrique Iglesias,0.776,0.844,11,-5.305,1,0.0297,0.0277,0.000244,0.135,0.868,125.972,208627,4
2002,6cZPfzVtkicrA3CyjqYKh,Baby,Ashanti,0.567,0.58,4,-5.757,0,0.223,0.0084,5.37E-06,0.0342,0.46,157.596,265707,4
2002,5Y0E3dOeynKuLDAXu0t0B,Oops (Oh My) [feat. Missy Elliott],Tweet,0.66,0.536,10,-8.786,0,0.29,0.233,0.00669,0.111,0.775,159.963,237800,4
2002,4w1lzcaoZ1IC2K5TwjalR,A Thousand Miles,Vanessa Carlton,0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,237493,4
2002,1NRorokmYEtr1koWybvaE,A Woman's Worth,Alicia Keys,0.667,0.41,4,-8.323,0,0.138,0.331,0,0.064,0.493,75.069,303333,4
2002,4KUQxsW63qc6CQbkZ76Gm,Rock The Boat,Aaliyah,0.641,0.72,5,-5.209,1,0.0336,0.0688,0.00286,0.193,0.418,92.988,275027,4
