year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2008,0CAfXk7DXMnon4gLudAp7,Low (feat. T-Pain),Flo Rida,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,231400,4
2008,1NyFRrFiJAJIaR6icj1go,Skinny Love,Bon Iver,0.592,0.256,4,-14.031,0,0.0449,0.842,2.38E-06,0.088,0.103,76.361,238533,4
2008,14iN3o8ptQ8cFVZTEmyQR,I Kissed A Girl,Katy Perry,0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996,179640,4
2008,6IwKcFdiRQZOWeYNhUiWI,No One,Alicia Keys,0.644,0.548,1,-5.416,0,0.0286,0.0209,8.68E-06,0.134,0.166,90.042,253813,4
2008,12je8giC2S9smUHJ81tpi,5 Years Time,Noah And The Whale,0.804,0.552,0,-7.108,1,0.113,0.4,0,0.1,0.748,121.996,214933,4
2008,1mea3bSkSGXuIRvnydlB5,Viva La Vida,Coldplay,0.485,0.619,5,-7.115,0,0.0289,0.0941,3.31E-06,0.109,0.416,138.017,242373,4
2008,4LloVtxNZpeh7q7xdi1DQ,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.315,0.296,5,-13.262,1,0.0317,0.771,0,0.702,0.436,172.638,263573,4
2008,4P7VFiaZb3xrXoqGwZXC3,Lollipop,Lil Wayne,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,299333,4
2008,7EGhmltmWJHCHobd3g8Hn,No Air (feat. Chris Brown),Jordin Sparks,0.466,0.759,8,-4.978,0,0.199,0.0521,0,0.0587,0.328,160.033,264373,4
2008,1Yw6ViCo3tuufI0Hg4mzS,You Make It Real,James Morrison,0.317,0.57,0,-5.331,1,0.0324,0.242,0,0.145,0.322,84.253,211400,4
2008,2OuNgtXKeCSORKqdl0MxK,Chasing Pavements,Adele,0.614,0.47,5,-6.09,0,0.0255,0.291,0,0.111,0.329,80.045,210507,4
2008,0OYcEfskah1egYHjYRvbg,Shadow of the Day,Linkin Park,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4
2008,3K4r00KlXytLJDfuytngm,Warwick Avenue,Duffy,0.493,0.59,0,-5.814,0,0.0392,0.339,0,0.121,0.502,169.908,226387,4
2008,1ZqHjApl3pfzwjweTfMi0,Violet Hill,Coldplay,0.345,0.581,1,-7.875,0,0.0369,0.0603,0.00127,0.115,0.108,76.022,222653,4
2008,1lkvpmrCaXK8QtliFDcHB,Bubbly,Colbie Caillat,0.688,0.477,9,-6.684,1,0.036,0.594,0,0.115,0.257,127.866,196227,4
2008,6wZI4mdT8JwXgkGURnBQi,Say,John Mayer,0.485,0.723,10,-6.565,1,0.0317,0.541,1.12E-06,0.075,0.541,167.845,230213,4
2008,5dKBaysNJtfpyNTRa5lqD,A-Punk,Vampire Weekend,0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,137760,4
2008,4E6cwWJWZw2zWf7VFbH7w,Love Song,Sara Bareilles,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,258827,4
2008,7J5prjNs67L9W7YPPzIxV,Fall for You,Secondhand Serenade,0.392,0.451,0,-7.109,1,0.0361,0.174,0,0.103,0.358,169.489,183600,4
2008,4AFwnrH5atiJoAd5xS5Qt,The Man Who Can't Be Moved,The Script,0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,241373,4
2008,3JHDtmFdX9kdx9wz0md98,Like You'll Never See Me Again,Alicia Keys,0.562,0.658,7,-8.072,1,0.0314,0.174,0.000285,0.102,0.268,127.81,315360,4
2008,6Vi6gx8IMRXORPx8fPd2Y,Realize,Colbie Caillat,0.695,0.599,1,-6.394,1,0.0317,0.117,0,0.118,0.187,123.949,244107,4
2008,0nnxf8p851ZR49KFnGWVs,Say Hey (I Love You),Michael Franti & Spearhead,0.738,0.983,5,-4.374,0,0.0855,0.038,5.93E-06,0.183,0.957,92.998,235760,4
2008,5c5a2Ptu8eyIpljhQHjIq,Ain't No Rest For The Wicked - Original Version,Cage The Elephant,0.635,0.914,0,-5.631,1,0.111,0.0597,0,0.601,0.922,156.014,175493,4
2008,4hrAKlxfblnG7llBEEX7T,Run,Leona Lewis,0.302,0.461,5,-6.166,0,0.0292,0.43,5.61E-06,0.122,0.0932,142.434,314720,4
2008,5VGlqQANWDKJFl0MBG3sg,Use Somebody,Kings of Leon,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760,4
2008,0pg4ptWsO9eMH6nEhrM9f,Stop And Stare,OneRepublic,0.492,0.859,4,-4.274,1,0.0332,0.0659,0,0.0756,0.251,92.474,223853,4
2008,1D4PL9B8gOg78jiHg3FvB,Love Story,Taylor Swift,0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,236267,4
2008,1jJci4qxiYcOHhQR247rE,Kids,MGMT,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4
2008,6jBUP2KCe821yqf1hiBqP,Broken Strings,James Morrison,0.57,0.717,1,-4.914,1,0.029,0.00967,0,0.0833,0.321,111.91,250453,4
2008,7ID1obCK75QsDQuf9pEVx,Mountains,Biffy Clyro,0.507,0.852,1,-6.841,1,0.0453,0.000676,1.28E-05,0.0599,0.595,158,201147,4
2008,3LF54Y7TxU5vy3YKAIfiQ,Greatest Day,Take That,0.458,0.703,1,-6.22,1,0.0362,0.0647,3.13E-06,0.102,0.17,110.017,239320,4
2008,1sTsuZTdANkiFd7T34H3n,Human,The Killers,0.557,0.8,10,-8.477,1,0.0601,0.00132,0.0012,0.0906,0.582,135.47,245373,4
2008,4wCD0qOFNRu1Q6O3N6ycm,Crush,David Archuleta,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.20E-05,0.0719,0.487,162.084,213520,4
2008,2iXBZ32Fz5VDCLeE0JIdX,Better in Time,Leona Lewis,0.584,0.7,6,-4.251,1,0.0506,0.512,2.43E-05,0.13,0.549,163.953,234173,4
2008,26NX1wPt1TRCH536yocd6,If I Were a Boy,Beyoncé,0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,90.007,249147,4
2008,5IaR621NoOM6i5KTcuNRH,Hallelujah,Alexandra Burke,0.414,0.425,2,-6.211,0,0.025,0.653,0,0.195,0.0943,91.284,217827,3
2008,3ODl8J0TZAykdMCtCIO28,Another Way to Die,Jack White,0.42,0.766,4,-4.231,0,0.179,0.0239,3.08E-05,0.11,0.41,68.393,262240,4
2008,20ORwCJusz4KS2PbTPVNK,Leavin',Jesse McCartney,0.687,0.71,9,-5.84,1,0.0522,0.0283,3.71E-06,0.0689,0.886,79.235,216880,4
2008,6PlXJ2yy2hpJn0FHVWakx,Heartbeat,Scouting For Girls,0.564,0.863,2,-3.835,1,0.0614,0.0509,0,0.106,0.864,155.149,175907,4
2008,7wZUrN8oemZfsEd1CGkbX,Bleeding Love,Leona Lewis,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,262467,4
2008,3nJjIYchBNkYm7B8XfJf5,Suffocate - Superclean,J. Holiday,0.458,0.445,9,-8.391,0,0.361,0.64,0,0.118,0.447,82.82,220053,5
2008,3goSVuTt3fDYDP6kRnFwu,Take A Bow,Rihanna,0.697,0.467,9,-7.536,1,0.0715,0.248,0,0.0941,0.572,82.082,229413,4
