group,male ,female ,mixed
2001,62,37,1
2002,55,44,1
2003,63,35,2
2004,72,27,1
2005,73,26,1
2006,66,33,1
2007,67,31,2
2008,61,36,3
2009,57,37,6
2010,63,34,3
2011,58,34,8
2012,79,19,2
2013,73,25,2
2014,63,34,3
2015,59,39,2
2016,65,31,4
2017,68,26,6
2018,77,21,2
2019,64,35,1
